ccode,countrycode,country,year,spell,duration,regime_change,regime_change_year,prevrc,democratization,aa_transition,party,military,personal,monarchy,currency_duration,banking,default,twin,ers_onset,d_ers,mi_onset,d_mi,kaopen_onset,d_kaopen,ers_mi_onset,d_ers_mi,mi_kaopen_onset,d_mi_kaopen,ers_kaopen_onset,d_ers_kaopen,gdppc_onset,d_gdppc_max,d_gdppc_total,d_gdppc_avg,ln_gdppc_onset,d_ln_gdppc_max,d_ln_gdppc_total,d_ln_gdppc_avg,gdppcgr_onset,gdppcgr_max,gdppcgr_total,gdppcgr_avg,oil_gas_value_pc,oil_gas_value_pc_avg,oilgas,oilgas_avg,oilrents,oilrents_avg,resources,resources_avg,vdem_index,polity2,polity2_avg,fedrate,d_fedrate,europe,latam,mideast,africa,eastasia,southasia,cgv_civilian,gwf_civilian,civil_war,1960s,1970s,1980s,1990s,2000s,cold_war,low_income,lower_middle_income,upper_middle_income,high_income
70,MEX,Mexico,1998-1999,85,83,1,2000,0,1,0,1,0,0,0,1,1,0,1,0.40784415602684,-0.190075636,0.625882387161255,0.192780435,0.696989595890045,0,0.339068160151334,-0.206492264156467,0.536458401634325,0.132376956194817,0.453262583241002,0.0986326127554514,9674,174,717,358.5,9.17719715338293,0.016887047261223,0.0714981724697168,0.0357490862348584,5.31191568927418,2.47972551466001,5.97419730870408,2.98709865435204,417.6364590495,345.57635252385,4.31710211959376,3.35108685685191,2.79707834594093,1.72835590184493,3.16160554699073,1.97589843547852,0.546,6,6.875,5.16166666666667,0.3,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
600,MAR,Morocco,1981-1982,54,25,0,,0,0,0,0,0,0,1,2,1,0,1,0.543180704116821,-0.242290109395981,0.625444829463959,0.142956495,0,0,0.390737658561471,-0.148739479890462,0.781550573345509,0.0981642442384695,0.718833159634333,0.125727352798866,4234,-191,121,60.5,8.35090245169481,-0.0461601820540398,0.0281774375917916,0.0140887187958958,7.08933717579251,-4.52099031216362,3.2016703417259,1.60083517086295,1.574900812,1.99630647985,0.0371965236655645,0.0478094381040346,0.04233535129446,0.0382803410836914,1.95485300590349,2.71543799573663,0.182,-8,-7,13.3558333333333,-0.96,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
600,MAR,Morocco,1985,54,29,0,,0,0,0,0,0,0,1,1,0,0,1,0.3456791639328,-0.055251211,0.655526459217072,-0.138238251,0,0,0.294815018110192,0.0753713471317367,0.802206790779269,-0.0949243574259994,0.82131916652475,0.0286705408909246,4274,150,150,150,8.36030543587909,0.0344941073230771,0.0344941073230771,0.0344941073230771,1.40578534739119,3.49240202612637,3.49240202612637,3.49240202612637,1.4582529267,1.4855191381,0.0341191606621432,0.0335786423621157,0.0463543581079935,0.0537307737260191,2.0270771048719,2.30669367606798,0.183,-8,-7.15,8.10083333333333,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
541,MOZ,Mozambique,1987,35,12,0,,0,0,0,1,0,0,0,1,1,1,1,0.469364434480667,-0.449596925,,,0,0,,,,,0.941726548328695,-0.142128631059876,470,-31,-31,-31,6.1527326947041,-0.0682332816289328,-0.0682332816289328,-0.0682332816289328,0.714285714285714,5.67375886524823,5.67375886524823,5.67375886524823,0,0,0,0,0,0,4.87024001479627,10.7255428068083,0.086,-7,-5.30232558139535,6.6575,0.15,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0
775,MMR,Myanmar,1975,26,13,0,,0,0,0,0,1,1,0,1,0,0,0,1,-0.883209445,0.5,-0.101872027,0.164809226989746,0,0.316333901573591,0.266666278929418,0.637385889410023,-0.0699526839388113,0.402381503267001,0.458308371361659,840,23,23,23,6.73340189183736,0.0270127992460685,0.0270127992460685,0.0270127992460685,3.382949932341,2.22513089005236,2.22513089005236,2.22513089005236,13.6853034634,13.3789908558,1.6292027932619,1.55028862755504,,,,,0.075,-6,-2,5.82416666666667,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
775,MMR,Myanmar,1990,22,2,0,,1,0,0,0,1,0,0,1,0,0,0,0.297281980514526,0.139160335,0.573105573654175,0,0.164809226989746,0,0.333887470086928,0.0528158055203357,0.687585450983447,0,0.767030628129036,-0.072212029561624,992,7,7,7,6.89972310728487,0.00703167136368155,0.00703167136368155,0.00703167136368155,2.24215246636771,1.42543859649123,1.42543859649123,1.42543859649123,9.372774175,9.2981838944,0.944836106350807,0.930749138578578,,,,,0.092,-6,0.3,8.09916666666667,1.12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
775,MMR,Myanmar,1996,22,8,0,,0,0,0,0,1,0,0,1,0,0,1,0.334574788808823,0.155986011,0.566811740398407,0,0.164809226989746,-0.164809227,0.352427581592155,0.0592016886031337,0.683263650958317,0.0580252129488711,0.747678925837241,-0.00154064307547086,1331,-17,-17,-17,7.19368581839511,-0.0128546193505565,-0.0128546193505565,-0.0128546193505565,5.0185873605948,4.69026548672566,4.69026548672566,4.69026548672566,5.8239488501,5.5250208943,0.437561897077385,0.420473431834094,,,,,0.096,-7,2.15,5.83666666666667,0.54,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
775,MMR,Myanmar,2001,22,13,0,,0,0,0,0,1,0,0,1,0,1,1,0.273841470479965,0.182920307,0.738191545009613,-0.089762449,0,0,0.209939390388316,0.131981330325344,0.858970603123391,-0.0616373741918995,0.85859663959832,-0.0949196235028621,1427,44,44,44,7.26332961747684,0.0303681031246015,0.0303681031246015,0.0303681031246015,12.1168923734854,9.85378258105531,9.85378258105531,9.85378258105531,27.3029763533,31.0076261983,1.91331298901892,2.10792836154317,1.00637721469126,1.11740333200403,6.90047400504323,12.0289064836117,0.096,-7,2.7,3.8875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
790,NPL,Nepal,1984,40,33,0,,0,0,0,0,0,0,1,1,0,0,0,0.481208086013794,0.056059182,0.5,0,0.164809226989746,0,0.454642029499049,0.0212762554532458,0.637385889410023,0,0.671589083227857,-0.0290898069737653,857,36,36,36,6.75343791859778,0.0411486622787187,0.0411486622787187,0.0411486622787187,-5.27272727272727,7.10172744721689,7.10172744721689,7.10172744721689,0,0,0,0,0,0,2.71558081810851,1.86502190722997,0.119,-2,-2.42857142857143,9.08666666666667,-1.14,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
93,NIC,Nicaragua,1979,43,43,1,1979,0,0,1,0,0,1,0,1,0,1,1,1,0,,,0.242408350110054,-0.060602084,,,,,0.364995491804243,0.0291971108511659,3796,-1421,-1421,-1421,8.24170315972982,-0.468950443261076,-0.468950443261076,-0.468950443261076,-9.07657953500591,-28.6477896561687,-28.6477896561687,-28.6477896561687,0,0,0,0,0,0,2.9560425223928,5.46820298290304,0.174,-8,-1.45833333333333,7.93083333333333,3.26,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0
